ANGLE A0 A1 DATETIME
40 1.964875 0.565125 2023-10-30T16:09:44.546875
40 2.051625 0.589625 2023-10-30T16:09:44.546875
40 2.088625 0.559500 2023-10-30T16:09:44.546875
40 1.984125 0.558375 2023-10-30T16:09:44.546875
40 2.039500 0.592125 2023-10-30T16:09:44.546875
40 2.099375 0.567000 2023-10-30T16:09:44.546875
40 2.005875 0.551875 2023-10-30T16:09:44.546875
40 2.018500 0.591125 2023-10-30T16:09:44.546875
40 2.107875 0.572125 2023-10-30T16:09:44.546875
40 2.033750 0.547000 2023-10-30T16:09:44.546875
40 2.014125 0.590500 2023-10-30T16:09:44.546875
40 2.139875 0.579125 2023-10-30T16:09:44.546875
40 2.077750 0.546500 2023-10-30T16:09:44.546875
40 2.004875 0.587750 2023-10-30T16:09:44.546875
40 2.154750 0.584375 2023-10-30T16:09:44.546875
40 2.110875 0.548625 2023-10-30T16:09:44.546875
40 2.004500 0.585000 2023-10-30T16:09:44.546875
40 2.165500 0.590625 2023-10-30T16:09:44.546875
40 2.144000 0.553750 2023-10-30T16:09:44.546875
40 2.008500 0.580000 2023-10-30T16:09:44.546875
40 2.157000 0.593625 2023-10-30T16:09:44.546875
40 2.161375 0.558750 2023-10-30T16:09:44.562500
40 2.023750 0.574375 2023-10-30T16:09:44.562500
40 2.150375 0.597875 2023-10-30T16:09:44.562500
40 2.187875 0.566500 2023-10-30T16:09:44.562500
40 2.050125 0.568125 2023-10-30T16:09:44.562500
40 2.127875 0.599375 2023-10-30T16:09:44.562500
40 2.198750 0.573000 2023-10-30T16:09:44.562500
40 2.075875 0.560625 2023-10-30T16:09:44.562500
40 2.107125 0.601125 2023-10-30T16:09:44.562500
40 2.208500 0.580875 2023-10-30T16:09:44.562500
40 2.100750 0.555875 2023-10-30T16:09:44.562500
40 2.066750 0.598500 2023-10-30T16:09:44.562500
40 2.190750 0.586125 2023-10-30T16:09:44.562500
40 2.106750 0.553500 2023-10-30T16:09:44.562500
40 2.031875 0.596000 2023-10-30T16:09:44.562500
40 2.146250 0.591000 2023-10-30T16:09:44.562500
40 2.083875 0.555000 2023-10-30T16:09:44.562500
40 1.992000 0.590375 2023-10-30T16:09:44.562500
40 2.089000 0.594000 2023-10-30T16:09:44.562500
40 2.059875 0.557750 2023-10-30T16:09:44.562500
40 1.979250 0.585000 2023-10-30T16:09:44.562500
40 2.064625 0.598000 2023-10-30T16:09:44.562500
40 2.061375 0.563875 2023-10-30T16:09:44.562500
40 1.980375 0.578625 2023-10-30T16:09:44.562500
40 2.042125 0.599250 2023-10-30T16:09:44.562500
40 2.056625 0.569125 2023-10-30T16:09:44.562500
40 1.986125 0.571625 2023-10-30T16:09:44.562500
40 2.024250 0.601875 2023-10-30T16:09:44.562500
60 2.053125 0.576625 2023-10-30T16:09:51.078125
60 1.993500 0.564625 2023-10-30T16:09:51.093750
60 2.002875 0.601250 2023-10-30T16:09:51.093750
60 2.044625 0.582500 2023-10-30T16:09:51.093750
60 1.997125 0.559750 2023-10-30T16:09:51.093750
60 1.986000 0.601000 2023-10-30T16:09:51.093750
60 2.036625 0.588875 2023-10-30T16:09:51.093750
60 2.003625 0.558750 2023-10-30T16:09:51.093750
60 1.976250 0.598750 2023-10-30T16:09:51.093750
60 2.037875 0.594000 2023-10-30T16:09:51.093750
60 2.020125 0.559875 2023-10-30T16:09:51.093750
60 1.980250 0.596125 2023-10-30T16:09:51.093750
60 2.050000 0.600000 2023-10-30T16:09:51.093750
60 2.039875 0.564125 2023-10-30T16:09:51.093750
60 1.984875 0.592000 2023-10-30T16:09:51.093750
60 2.055250 0.603125 2023-10-30T16:09:51.093750
60 2.058125 0.569125 2023-10-30T16:09:51.093750
60 1.996000 0.587125 2023-10-30T16:09:51.093750
60 2.060000 0.610250 2023-10-30T16:09:51.093750
60 2.075875 0.577750 2023-10-30T16:09:51.093750
60 2.010875 0.583750 2023-10-30T16:09:51.093750
60 2.053500 0.614125 2023-10-30T16:09:51.093750
60 2.084750 0.585875 2023-10-30T16:09:51.093750
60 2.024875 0.578750 2023-10-30T16:09:51.093750
60 2.047875 0.618500 2023-10-30T16:09:51.093750
60 2.091625 0.596125 2023-10-30T16:09:51.093750
60 2.037250 0.576500 2023-10-30T16:09:51.093750
60 2.031500 0.621625 2023-10-30T16:09:51.093750
60 2.087500 0.606375 2023-10-30T16:09:51.093750
60 2.046125 0.576125 2023-10-30T16:09:51.093750
60 2.021875 0.625125 2023-10-30T16:09:51.109375
60 2.087000 0.618375 2023-10-30T16:09:51.109375
60 2.057125 0.579500 2023-10-30T16:09:51.109375
60 2.012125 0.624250 2023-10-30T16:09:51.109375
60 2.081625 0.625875 2023-10-30T16:09:51.109375
60 2.065875 0.584500 2023-10-30T16:09:51.109375
60 2.012500 0.619625 2023-10-30T16:09:51.109375
60 2.078875 0.632500 2023-10-30T16:09:51.109375
60 2.075750 0.591250 2023-10-30T16:09:51.109375
60 2.016875 0.613250 2023-10-30T16:09:51.109375
60 2.070500 0.635500 2023-10-30T16:09:51.109375
60 2.080750 0.597625 2023-10-30T16:09:51.109375
60 2.025250 0.605750 2023-10-30T16:09:51.109375
60 2.065250 0.639375 2023-10-30T16:09:51.109375
60 2.087375 0.606250 2023-10-30T16:09:51.109375
60 2.035875 0.599125 2023-10-30T16:09:51.109375
60 2.054875 0.641375 2023-10-30T16:09:51.109375
60 2.090500 0.615250 2023-10-30T16:09:51.109375
60 2.047750 0.593000 2023-10-30T16:09:51.109375
60 2.049500 0.644375 2023-10-30T16:09:51.109375
80 2.096875 0.624875 2023-10-30T16:09:57.625000
80 2.059375 0.591500 2023-10-30T16:09:57.625000
80 2.038625 0.643750 2023-10-30T16:09:57.625000
80 2.095875 0.632750 2023-10-30T16:09:57.625000
80 2.069000 0.591875 2023-10-30T16:09:57.625000
80 2.036000 0.642625 2023-10-30T16:09:57.625000
80 2.098125 0.642750 2023-10-30T16:09:57.625000
80 2.080375 0.597250 2023-10-30T16:09:57.625000
80 2.033000 0.638625 2023-10-30T16:09:57.625000
80 2.092875 0.647875 2023-10-30T16:09:57.625000
80 2.087375 0.602750 2023-10-30T16:09:57.640625
80 2.036750 0.632750 2023-10-30T16:09:57.640625
80 2.090750 0.654875 2023-10-30T16:09:57.640625
80 2.094750 0.611625 2023-10-30T16:09:57.640625
80 2.042875 0.626250 2023-10-30T16:09:57.640625
80 2.081875 0.660250 2023-10-30T16:09:57.640625
80 2.098750 0.621375 2023-10-30T16:09:57.640625
80 2.051875 0.617250 2023-10-30T16:09:57.640625
80 2.076625 0.660000 2023-10-30T16:09:57.640625
80 2.103625 0.627250 2023-10-30T16:09:57.640625
80 2.061625 0.608500 2023-10-30T16:09:57.640625
80 2.067125 0.658250 2023-10-30T16:09:57.640625
80 2.105375 0.633625 2023-10-30T16:09:57.640625
80 2.071250 0.601625 2023-10-30T16:09:57.640625
80 2.061750 0.656125 2023-10-30T16:09:57.640625
80 2.109625 0.641500 2023-10-30T16:09:57.640625
80 2.083000 0.600125 2023-10-30T16:09:57.640625
80 2.055250 0.651375 2023-10-30T16:09:57.640625
80 2.108500 0.645875 2023-10-30T16:09:57.640625
80 2.091125 0.601125 2023-10-30T16:09:57.640625
80 2.055125 0.645500 2023-10-30T16:09:57.640625
80 2.110000 0.651125 2023-10-30T16:09:57.640625
80 2.101500 0.605750 2023-10-30T16:09:57.640625
80 2.055875 0.638375 2023-10-30T16:09:57.640625
80 2.105625 0.653750 2023-10-30T16:09:57.640625
80 2.106875 0.611375 2023-10-30T16:09:57.640625
80 2.062250 0.629750 2023-10-30T16:09:57.640625
80 2.103875 0.657375 2023-10-30T16:09:57.640625
80 2.115375 0.619125 2023-10-30T16:09:57.640625
80 2.071125 0.620625 2023-10-30T16:09:57.640625
80 2.095875 0.658250 2023-10-30T16:09:57.656250
80 2.119375 0.626250 2023-10-30T16:09:57.656250
80 2.081250 0.610500 2023-10-30T16:09:57.656250
80 2.091875 0.657625 2023-10-30T16:09:57.656250
80 2.126000 0.633375 2023-10-30T16:09:57.656250
80 2.092375 0.604625 2023-10-30T16:09:57.656250
80 2.083625 0.653875 2023-10-30T16:09:57.656250
80 2.128000 0.639625 2023-10-30T16:09:57.656250
80 2.102875 0.601000 2023-10-30T16:09:57.656250
80 2.080750 0.650000 2023-10-30T16:09:57.656250
100 2.131750 0.644875 2023-10-30T16:10:04.171875
100 2.113375 0.602875 2023-10-30T16:10:04.171875
100 2.077625 0.644125 2023-10-30T16:10:04.171875
100 2.129000 0.649750 2023-10-30T16:10:04.171875
100 2.121625 0.607625 2023-10-30T16:10:04.171875
100 2.080500 0.638375 2023-10-30T16:10:04.171875
100 2.129375 0.655000 2023-10-30T16:10:04.171875
100 2.130500 0.614500 2023-10-30T16:10:04.171875
100 2.086125 0.632375 2023-10-30T16:10:04.171875
100 2.124125 0.657750 2023-10-30T16:10:04.171875
100 2.137000 0.621250 2023-10-30T16:10:04.171875
100 2.095875 0.623625 2023-10-30T16:10:04.171875
100 2.123500 0.660250 2023-10-30T16:10:04.171875
100 2.145875 0.629125 2023-10-30T16:10:04.171875
100 2.106750 0.616375 2023-10-30T16:10:04.171875
100 2.116750 0.660000 2023-10-30T16:10:04.171875
100 2.149750 0.635750 2023-10-30T16:10:04.171875
100 2.116750 0.609750 2023-10-30T16:10:04.187500
100 2.114125 0.659375 2023-10-30T16:10:04.187500
100 2.155875 0.643750 2023-10-30T16:10:04.187500
100 2.128625 0.607500 2023-10-30T16:10:04.187500
100 2.106375 0.656500 2023-10-30T16:10:04.187500
100 2.156250 0.649750 2023-10-30T16:10:04.187500
100 2.137500 0.608625 2023-10-30T16:10:04.187500
100 2.105625 0.653000 2023-10-30T16:10:04.187500
100 2.158500 0.656625 2023-10-30T16:10:04.187500
100 2.148000 0.613875 2023-10-30T16:10:04.187500
100 2.105875 0.647500 2023-10-30T16:10:04.187500
100 2.155375 0.661000 2023-10-30T16:10:04.187500
100 2.155500 0.619750 2023-10-30T16:10:04.187500
100 2.112125 0.641125 2023-10-30T16:10:04.187500
100 2.155500 0.665500 2023-10-30T16:10:04.187500
100 2.164875 0.627625 2023-10-30T16:10:04.187500
100 2.121250 0.632125 2023-10-30T16:10:04.187500
100 2.148500 0.667125 2023-10-30T16:10:04.187500
100 2.171000 0.635875 2023-10-30T16:10:04.187500
100 2.132375 0.622375 2023-10-30T16:10:04.187500
100 2.144000 0.668125 2023-10-30T16:10:04.187500
100 2.178125 0.644375 2023-10-30T16:10:04.187500
100 2.144625 0.616875 2023-10-30T16:10:04.187500
100 2.135375 0.666375 2023-10-30T16:10:04.187500
100 2.180000 0.652000 2023-10-30T16:10:04.187500
100 2.154375 0.614250 2023-10-30T16:10:04.187500
100 2.133625 0.664625 2023-10-30T16:10:04.187500
100 2.183875 0.659375 2023-10-30T16:10:04.187500
100 2.166375 0.617125 2023-10-30T16:10:04.187500
100 2.129375 0.658500 2023-10-30T16:10:04.203125
100 2.181625 0.665375 2023-10-30T16:10:04.203125
100 2.175250 0.622875 2023-10-30T16:10:04.203125
100 2.133500 0.651625 2023-10-30T16:10:04.203125
120 2.181625 0.671000 2023-10-30T16:10:10.718750
120 2.185750 0.630625 2023-10-30T16:10:10.718750
120 2.140875 0.644000 2023-10-30T16:10:10.718750
120 2.175125 0.666375 2023-10-30T16:10:10.718750
120 2.188375 0.631125 2023-10-30T16:10:10.718750
120 2.148250 0.631500 2023-10-30T16:10:10.718750
120 2.169750 0.667250 2023-10-30T16:10:10.718750
120 2.191875 0.634375 2023-10-30T16:10:10.718750
120 2.156125 0.614750 2023-10-30T16:10:10.718750
120 2.157250 0.653625 2023-10-30T16:10:10.718750
120 2.190625 0.629875 2023-10-30T16:10:10.718750
120 2.162625 0.598500 2023-10-30T16:10:10.718750
120 2.149875 0.635875 2023-10-30T16:10:10.718750
120 2.190750 0.627000 2023-10-30T16:10:10.718750
120 2.171375 0.595500 2023-10-30T16:10:10.718750
120 2.144500 0.627000 2023-10-30T16:10:10.718750
120 2.188250 0.626375 2023-10-30T16:10:10.718750
120 2.177875 0.595625 2023-10-30T16:10:10.718750
120 2.146000 0.623625 2023-10-30T16:10:10.718750
120 2.189250 0.634500 2023-10-30T16:10:10.718750
120 2.187500 0.607500 2023-10-30T16:10:10.718750
120 2.150250 0.629875 2023-10-30T16:10:10.718750
