ANGLE	A0	A1	DATETIME
20.0	1.753875	1.7840625	2023-12-06T14:55:55.328125
20.0	1.7535	1.7844375	2023-12-06T14:55:55.328125
20.0	1.7535	1.7848125	2023-12-06T14:55:55.328125
20.0	1.7536875	1.7844375	2023-12-06T14:55:55.328125
20.0	1.7544375	1.7840625	2023-12-06T14:55:55.328125
20.0	1.75425	1.7836875	2023-12-06T14:55:55.328125
20.0	1.7540625	1.7835	2023-12-06T14:55:55.328125
20.0	1.75425	1.783875	2023-12-06T14:55:55.328125
20.0	1.7536875	1.7836875	2023-12-06T14:55:55.328125
20.0	1.7533125	1.7833125	2023-12-06T14:55:55.328125
21.0	1.7514375	1.7829375	2023-12-06T14:55:57.484375
21.0	1.752	1.782375	2023-12-06T14:55:57.484375
21.0	1.751625	1.7821875	2023-12-06T14:55:57.484375
21.0	1.7514375	1.782375	2023-12-06T14:55:57.484375
21.0	1.75125	1.7825625	2023-12-06T14:55:57.484375
21.0	1.75125	1.7821875	2023-12-06T14:55:57.484375
21.0	1.750125	1.7818125	2023-12-06T14:55:57.484375
21.0	1.750125	1.7818125	2023-12-06T14:55:57.484375
21.0	1.750125	1.782375	2023-12-06T14:55:57.484375
21.0	1.7503125	1.7825625	2023-12-06T14:55:57.484375
21.0	1.7506875	1.7821875	2023-12-06T14:55:57.484375
21.0	1.750125	1.7825625	2023-12-06T14:55:57.484375
21.0	1.750125	1.7825625	2023-12-06T14:55:57.484375
21.0	1.750875	1.78275	2023-12-06T14:55:57.500000
21.0	1.7514375	1.783125	2023-12-06T14:55:57.500000
21.0	1.7518125	1.7833125	2023-12-06T14:55:57.500000
21.0	1.75125	1.7833125	2023-12-06T14:55:57.500000
21.0	1.7510625	1.7829375	2023-12-06T14:55:57.500000
21.0	1.7518125	1.782375	2023-12-06T14:55:57.500000
21.0	1.752375	1.7821875	2023-12-06T14:55:57.500000
21.0	1.7518125	1.782375	2023-12-06T14:55:57.500000
21.0	1.7510625	1.782375	2023-12-06T14:55:57.500000
21.0	1.7510625	1.782375	2023-12-06T14:55:57.500000
21.0	1.750125	1.7818125	2023-12-06T14:55:57.500000
21.0	1.7505	1.782	2023-12-06T14:55:57.500000
21.0	1.750875	1.782375	2023-12-06T14:55:57.500000
21.0	1.7499375	1.7825625	2023-12-06T14:55:57.500000
21.0	1.749375	1.782375	2023-12-06T14:55:57.500000
21.0	1.74975	1.78275	2023-12-06T14:55:57.500000
21.0	1.75125	1.78275	2023-12-06T14:55:57.500000
21.0	1.7510625	1.7829375	2023-12-06T14:55:57.500000
21.0	1.7505	1.783125	2023-12-06T14:55:57.500000
21.0	1.7506875	1.783125	2023-12-06T14:55:57.500000
21.0	1.751625	1.783125	2023-12-06T14:55:57.515625
21.0	1.7514375	1.78275	2023-12-06T14:55:57.515625
21.0	1.75125	1.782375	2023-12-06T14:55:57.515625
21.0	1.75125	1.782375	2023-12-06T14:55:57.515625
21.0	1.7518125	1.7825625	2023-12-06T14:55:57.515625
21.0	1.752	1.7825625	2023-12-06T14:55:57.515625
21.0	1.7518125	1.7825625	2023-12-06T14:55:57.515625
21.0	1.7503125	1.7818125	2023-12-06T14:55:57.515625
21.0	1.7499375	1.782	2023-12-06T14:55:57.515625
21.0	1.7505	1.782375	2023-12-06T14:55:57.515625
21.0	1.750875	1.7825625	2023-12-06T14:55:57.515625
21.0	1.7499375	1.7825625	2023-12-06T14:55:57.515625
21.0	1.74975	1.78275	2023-12-06T14:55:57.515625
21.0	1.750875	1.7825625	2023-12-06T14:55:57.515625
21.0	1.751625	1.78275	2023-12-06T14:55:57.515625
21.0	1.75125	1.7833125	2023-12-06T14:55:57.515625
21.0	1.7514375	1.7833125	2023-12-06T14:55:57.515625
22.0	1.74675	1.77975	2023-12-06T14:55:59.390625
22.0	1.74675	1.7803125	2023-12-06T14:55:59.390625
22.0	1.746375	1.7806875	2023-12-06T14:55:59.390625
22.0	1.7458125	1.7803125	2023-12-06T14:55:59.390625
22.0	1.7458125	1.7805	2023-12-06T14:55:59.390625
22.0	1.7469375	1.7806875	2023-12-06T14:55:59.390625
22.0	1.7473125	1.780875	2023-12-06T14:55:59.390625
22.0	1.7473125	1.780875	2023-12-06T14:55:59.390625
22.0	1.7469375	1.78125	2023-12-06T14:55:59.390625
22.0	1.747125	1.78125	2023-12-06T14:55:59.406250
22.0	1.7480625	1.7810625	2023-12-06T14:55:59.406250
22.0	1.7476875	1.7806875	2023-12-06T14:55:59.406250
22.0	1.747875	1.780125	2023-12-06T14:55:59.406250
22.0	1.7480625	1.7803125	2023-12-06T14:55:59.406250
22.0	1.74825	1.7805	2023-12-06T14:55:59.406250
22.0	1.7475	1.7803125	2023-12-06T14:55:59.406250
22.0	1.7465625	1.7799375	2023-12-06T14:55:59.406250
22.0	1.7465625	1.7799375	2023-12-06T14:55:59.406250
22.0	1.7465625	1.7805	2023-12-06T14:55:59.406250
22.0	1.7465625	1.7805	2023-12-06T14:55:59.406250
22.0	1.745625	1.7805	2023-12-06T14:55:59.406250
22.0	1.745625	1.7805	2023-12-06T14:55:59.406250
22.0	1.7458125	1.7805	2023-12-06T14:55:59.406250
22.0	1.7465625	1.7805	2023-12-06T14:55:59.406250
22.0	1.7480625	1.780875	2023-12-06T14:55:59.406250
22.0	1.7475	1.7814375	2023-12-06T14:55:59.406250
22.0	1.747125	1.7814375	2023-12-06T14:55:59.406250
22.0	1.7473125	1.780875	2023-12-06T14:55:59.406250
22.0	1.7476875	1.7805	2023-12-06T14:55:59.406250
22.0	1.74825	1.780125	2023-12-06T14:55:59.421875
22.0	1.7473125	1.7805	2023-12-06T14:55:59.421875
22.0	1.7469375	1.7805	2023-12-06T14:55:59.421875
22.0	1.74675	1.7803125	2023-12-06T14:55:59.421875
22.0	1.747125	1.7799375	2023-12-06T14:55:59.421875
22.0	1.7465625	1.780125	2023-12-06T14:55:59.421875
22.0	1.7465625	1.7805	2023-12-06T14:55:59.421875
22.0	1.7465625	1.7805	2023-12-06T14:55:59.421875
22.0	1.746	1.7805	2023-12-06T14:55:59.421875
22.0	1.746375	1.7805	2023-12-06T14:55:59.421875
22.0	1.74675	1.7805	2023-12-06T14:55:59.421875
22.0	1.74675	1.7805	2023-12-06T14:55:59.421875
22.0	1.7469375	1.780875	2023-12-06T14:55:59.421875
22.0	1.747875	1.78125	2023-12-06T14:55:59.421875
22.0	1.74825	1.78125	2023-12-06T14:55:59.421875
22.0	1.7473125	1.780875	2023-12-06T14:55:59.421875
22.0	1.7475	1.7805	2023-12-06T14:55:59.421875
22.0	1.747875	1.7805	2023-12-06T14:55:59.421875
22.0	1.7484375	1.7805	2023-12-06T14:55:59.421875
22.0	1.7475	1.7805	2023-12-06T14:55:59.421875
22.0	1.7465625	1.7799375	2023-12-06T14:55:59.421875
23.0	1.7431875	1.7780625	2023-12-06T14:56:01.812500
23.0	1.7439375	1.7784375	2023-12-06T14:56:01.828125
23.0	1.7431875	1.7780625	2023-12-06T14:56:01.828125
23.0	1.742625	1.7776875	2023-12-06T14:56:01.828125
23.0	1.743	1.777125	2023-12-06T14:56:01.828125
23.0	1.7439375	1.777125	2023-12-06T14:56:01.828125
23.0	1.7431875	1.7773125	2023-12-06T14:56:01.828125
23.0	1.7431875	1.7773125	2023-12-06T14:56:01.828125
23.0	1.742625	1.7773125	2023-12-06T14:56:01.828125
23.0	1.7416875	1.7769375	2023-12-06T14:56:01.828125
23.0	1.7424375	1.7769375	2023-12-06T14:56:01.828125
23.0	1.7428125	1.777125	2023-12-06T14:56:01.828125
23.0	1.741875	1.7773125	2023-12-06T14:56:01.828125
23.0	1.7413125	1.7773125	2023-12-06T14:56:01.828125
23.0	1.7416875	1.7775	2023-12-06T14:56:01.828125
23.0	1.7428125	1.7776875	2023-12-06T14:56:01.828125
23.0	1.7424375	1.7776875	2023-12-06T14:56:01.828125
23.0	1.742625	1.77825	2023-12-06T14:56:01.828125
23.0	1.7428125	1.77825	2023-12-06T14:56:01.828125
23.0	1.7435625	1.7780625	2023-12-06T14:56:01.828125
23.0	1.7431875	1.7776875	2023-12-06T14:56:01.828125
